open_time,open,high,low,close,volume,macd,signal,hist
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,0.0,0.0,0.0
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,-14.096524216523903,-2.819304843304781,-11.277219373219122
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,-22.45856997913961,-6.747157870471748,-15.711412108667863
2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022,-33.037055178007904,-12.005137331978979,-21.031917846028925
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306,-46.55573098705827,-18.915256062994835,-27.640474924063433
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,-54.70220655270168,-26.072646160936205,-28.629560391765477
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,-54.5574542858667,-31.769607785922307,-22.78784649994439
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753,-37.70834690545962,-32.957355609829776,-4.750991295629845
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,-26.896102127015183,-31.74510491326686,4.849002786251678
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068,-13.590598643880185,-28.114203659389528,14.523605015509343
2017-08-27,4332.51,4400.0,4285.54,4310.01,350.692585,-5.199328409015834,-23.53122860931479,18.331900200298957
2017-08-28,4310.01,4399.82,4124.54,4386.69,603.841616,7.551203295326559,-17.314742228386525,24.865945523713084
2017-08-29,4353.65,4625.85,4313.55,4587.48,603.545028,33.47231841074699,-7.157330100559822,40.62964851130681
2017-08-30,4564.52,4647.51,4416.01,4555.14,808.468771,50.819604402478035,4.43805680004775,46.38154760243029
2017-08-31,4555.14,4745.42,4555.14,4724.89,556.956802,77.37295263642773,19.025035967323745,58.34791666910398
2017-09-01,4689.89,4885.55,4654.88,4834.91,560.666366,106.07163911446332,36.43435659675166,69.63728251771167
2017-09-02,4796.16,4939.19,4286.87,4472.14,929.148595,98.40865400050916,48.82921607750316,49.579437923006
2017-09-03,4508.5,4714.76,4298.33,4509.08,691.216198,94.23020521891522,57.90941390578557,36.32079131312965
2017-09-04,4505.0,4527.49,3972.51,4100.11,1394.644614,57.258255829132395,57.77918229045494,-0.5209264613225457
2017-09-05,4106.97,4484.99,3603.0,4366.47,1228.938157,48.88720424649091,56.000786681662134,-7.1135824351712245
2017-09-06,4366.49,4662.87,4335.26,4619.77,807.363726,61.97783671882098,57.19619668909391,4.781640029727072
2017-09-07,4619.77,4788.59,4438.19,4691.61,500.429975,77.2585563285511,61.20866861698535,16.049887711565745
2017-09-08,4691.66,4735.39,4028.93,4282.8,1132.255046,55.738566776874904,60.11464824896326,-4.376081472088359
2017-09-09,4282.8,4426.62,4150.06,4258.81,658.782952,36.329246566565416,55.357567912483695,-19.02832134591828
2017-09-10,4258.81,4283.0,3801.0,4130.37,660.373275,10.462579774254664,46.37857028483789,-35.91599051058323
2017-09-11,4153.62,4334.43,4098.91,4208.47,699.989065,-3.6923595048974676,36.36438432689082,-40.05674383178829
2017-09-12,4208.6,4394.59,4040.8,4163.72,879.630319,-18.310134045488667,25.429480652414924,-43.73961469790359
2017-09-13,4159.72,4165.38,3760.0,3944.69,913.462545,-47.02662254258394,10.938260013415153,-57.96488255599909
2017-09-14,3944.0,3993.0,3165.13,3189.02,1665.021543,-129.27074746147537,-17.103541481562953,-112.16720597991241
2017-09-15,3188.01,3856.0,2817.0,3700.0,1968.866492,-151.47191943540565,-43.9772170723315,-107.49470236307415
2017-09-16,3674.01,3950.0,3470.66,3714.95,1297.563953,-165.94723172910653,-68.37122000368652,-97.57601172542002
2017-09-17,3685.23,3748.21,3499.02,3699.99,682.17121,-176.59054213893978,-90.01508443073718,-86.5754577082026
2017-09-18,3690.0,4123.2,3690.0,4035.01,1030.006455,-156.19164810517395,-103.25039716562453,-52.94125093954942
2017-09-19,4060.0,4089.97,3830.91,3910.04,902.332129,-148.39876362737823,-112.28007045797528,-36.118693169402945
2017-09-20,3910.04,4046.08,3820.0,3900.0,720.935076,-141.4029850350612,-118.10465337339247,-23.298331661668726
2017-09-21,3889.99,3910.0,3567.0,3609.99,1001.654084,-157.4452327472336,-125.9727692481607,-31.4724634990729
2017-09-22,3592.84,3750.0,3505.55,3595.87,838.966425,-169.3460794419875,-134.64743128692606,-34.69864815506145
2017-09-23,3595.88,3817.19,3542.91,3780.0,752.792791,-162.05180173056124,-140.1283053756531,-21.92349635490814
2017-09-24,3779.54,3789.99,3622.76,3660.02,661.63639,-164.0612217375001,-144.9148886480225,-19.146333089477594
2017-09-25,3660.02,3979.87,3653.69,3920.75,727.994713,-142.96693574022993,-144.525298066464,1.558362326234061
2017-09-26,3928.0,3976.99,3850.05,3882.35,526.727987,-127.87406852595586,-141.1950521583624,13.320983632406524
2017-09-27,3882.36,4249.94,3872.81,4193.0,628.170966,-89.810721636984,-130.91818605408673,41.10746441710273
2017-09-28,4192.11,4300.0,4101.0,4174.5,849.785325,-60.44131057996083,-116.82281095926156,56.38150037930073
