open_time,open,high,low,close,volume,macd,signal,hist
2017-08-17,4261.48,4485.39,3850.0,4139.98,2376.348404,0.0,0.0,0.0
2017-08-20,4120.98,4211.08,3400.0,4040.0,2125.51094,-7.975612535612527,-1.5951225071225055,-6.380490028490021
2017-08-23,4040.0,4453.91,4013.89,4280.68,2362.168058,5.066122515238931,-0.26287350265021825,5.328996017889149
2017-08-26,4280.71,4400.0,4124.54,4386.69,1182.642269,23.682910688809898,4.526283335641805,19.15662735316809
2017-08-29,4353.65,4745.42,4313.55,4724.89,1968.970601,64.97774004771782,16.616574678057006,48.36116536966081
2017-09-01,4689.89,4939.19,4286.87,4509.08,2181.031159,79.37513923150345,29.168287588746296,50.20685164275716
2017-09-04,4505.0,4662.87,3603.0,4619.77,3430.946497,98.58056435576327,43.0507429421497,55.529821413613575
2017-09-07,4619.77,4788.59,4028.93,4258.81,2291.467973,83.7095947026246,51.182513294244686,32.527081408379914
2017-09-10,4258.81,4394.59,3801.0,4163.72,2239.992659,63.51906754187348,53.649824143770445,9.869243398103038
2017-09-13,4159.72,4165.38,2817.0,3700.0,4547.35058,9.984505606335006,44.91676043628336,-34.932254829948356
2017-09-16,3674.01,4123.2,3470.66,4035.01,3009.741618,-5.34786634437296,34.8638350801521,-40.21170142452506
2017-09-19,4060.0,4089.97,3567.0,3609.99,2624.921289,-51.20419346992094,17.650229370137495,-68.85442284005843
2017-09-22,3592.84,3817.19,3505.55,3660.02,2253.395606,-82.55699456862794,-2.3912154176155926,-80.16577915101234
2017-09-25,3660.02,4249.94,3653.69,4193.0,1882.893666,-63.66341144574926,-14.645654623242327,-49.01775682250693
2017-09-28,4192.11,4380.0,3952.01,4378.51,3172.448073,-33.33671912502359,-18.383867523598582,-14.95285160142501
2017-10-01,4378.49,4561.63,4180.8,4310.0,2465.044222,-14.661769652945623,-17.639447949467993,2.9776782965223703
2017-10-04,4314.9,4417.0,4110.0,4369.0,2154.132915,4.843239416664801,-13.142910476241436,17.986149892906237
2017-10-07,4369.0,4889.98,4312.56,4786.95,1462.522649,53.410488808335685,0.16776938067398817,53.2427194276617
2017-10-10,4786.95,5439.99,4680.59,5430.0,3073.352651,142.15052193504835,28.564319891548863,113.58620204349948
2017-10-13,5439.99,5922.3,5379.84,5709.99,4194.110041,232.39162456213035,69.32978082566517,163.06184373646516
2017-10-16,5710.0,5788.91,5037.95,5512.06,5276.670211,284.65571779346647,112.39496821922543,172.26074957424103
2017-10-19,5513.0,6171.0,5490.26,6024.97,5519.00702,363.275326817522,162.57103993888475,200.70428687863725
