open_time,open,high,low,close,volume,macd,signal,hist
2017-08-14,4261.48,4485.39,3850.0,4086.29,2843.431426,0.0,0.0,0.0
2017-08-21,4069.13,4453.91,3400.0,4310.01,4599.396629,17.846609686610464,3.569321937322093,14.277287749288371
2017-08-28,4310.01,4939.19,4124.54,4509.08,4753.843376,47.50584394607267,12.35662633907221,35.149217607000466
2017-09-04,4505.0,4788.59,3603.0,4130.37,6382.787745,39.99127427532585,17.88355592632294,22.10771834900291
2017-09-11,4153.62,4394.59,2817.0,3699.99,8106.705127,-0.6842577946363235,14.169993182131089,-14.854250976767412
2017-09-18,3690.0,4123.2,3505.55,3660.02,5908.32335,-35.73324437030897,4.1893456716430775,-39.92259004195204
2017-09-25,3660.02,4406.52,3653.69,4378.48,5782.305424,-5.473011694607521,2.256874198392958,-7.729885893000479
2017-10-02,4400.0,4658.0,4110.0,4640.0,4708.272956,39.159512614784035,9.637401881671174,29.52211073311286
2017-10-09,4640.0,5922.3,4550.0,5709.99,7913.925837,159.03707994989418,39.51733749531577,119.5197424545784
2017-10-16,5710.0,6171.0,5037.95,5950.02,12157.769447,270.2935548711348,85.67258097047957,184.62097390065523
2017-10-23,5975.0,6189.88,5286.98,6169.98,13133.99457,371.9267069618945,142.92340616876257,229.00330079313196
2017-10-30,6133.01,7590.25,6030.0,7345.01,11663.209648,541.0499263268839,222.54871020038684,318.50121612649707
2017-11-06,7345.1,7770.02,5325.01,5811.03,18916.3199,545.0192870678084,287.04282557387114,257.9764614939372
2017-11-13,5839.94,8123.15,5699.99,8038.0,19791.101011,719.5681675677606,373.54789397264904,346.0202735951116
2017-11-20,8057.11,9350.0,7801.0,9128.02,28921.859792,935.0759438276336,485.85350394364593,449.2224398839877
2017-11-27,9128.0,11825.0,8520.0,11165.41,48427.94965,1255.7917691728035,639.8411569894774,615.950612183326
2017-12-04,11165.41,17204.99,10802.0,14899.98,72469.977627,1790.6682503500997,870.0065756616019,920.6616746884978
2017-12-11,14946.26,19798.68,14666.56,18860.02,67851.486215,2505.2251714964113,1197.050294828564,1308.1748766678475
2017-12-18,18860.04,19300.0,10961.0,13500.0,135385.440322,2608.933697505672,1479.4269753639855,1129.5067221416866
2017-12-25,13500.0,16498.05,11750.0,13716.36,116522.754321,2677.714865205171,1719.0845533322226,958.6303118729484
2018-01-01,13715.65,17176.24,12750.0,16150.03,120239.399359,2895.226892716686,1954.3130212091155,940.9138715075705
2018-01-08,16218.85,16322.3,11400.0,13474.99,137537.904565,2819.2547559497307,2127.301368157239,691.9533877924919
2018-01-15,13477.98,14249.99,9035.0,11530.0,303127.502137,2572.448269810953,2216.3307484879815,356.1175213229717
2018-01-22,11530.0,12244.0,9900.24,11879.95,198030.051117,2377.6819542342946,2248.6009896372443,129.0809645970503
2018-01-29,11879.95,11975.02,7930.0,8184.81,202016.407759,1903.2221690476308,2179.525225519322,-276.303056471691
2018-02-05,8179.99,9065.78,6000.01,8063.88,340794.292131,1500.1584379863107,2043.6518680127197,-543.493430026409
2018-02-12,8063.82,11274.0,8053.0,10383.43,311863.068137,1352.3072704825845,1905.3829485066929,-553.0756780241084
2018-02-19,10375.01,11786.01,9274.8,9590.0,350623.132911,1157.7649908659023,1755.8593569785348,-598.0943661126325
2018-02-26,9590.0,11565.0,9350.0,11515.0,183970.997614,1145.7131764554997,1633.830120873928,-488.1169444184284
2018-03-05,11515.0,11710.0,8329.0,9533.57,282035.225382,965.151519279767,1500.094400555096,-534.942881275329
